1000,0.026
2000,0.049
3000,0.058
4000,0.1
5000,0.154
6000,0.224
7000,0.311
8000,0.397
9000,0.559
10000,0.687
11000,0.775
12000,1.458
13000,1.439
14000,1.896
15000,2.754
16000,2.944
17000,3.529
18000,3.026
19000,5.344
20000,7.928
21000,7.469
22000,6.416
23000,6.771
24000,11.42
